Overall rank,Country or region,Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Happiness
49,Uzbekistan,5.987,0.73591,0.50163,0.60848,0.34326,0.28333,2016,1
50,Italy,5.977,1.35495,0.85102,0.18827,0.16684,0.02556,2016,1
51,Ecuador,5.976,0.97306,0.68613,0.4027,0.10074,0.18037,2016,1
52,Belize,5.956,0.87616,0.45569,0.51231,0.23684,0.10771,2016,1
53,Japan,5.921,1.38007,0.91491,0.46761,0.10224,0.18985,2016,1
54,Kazakhstan,5.919,1.22943,0.57386,0.4052,0.15011,0.11132,2016,1
55,Moldova,5.897,0.69177,0.52309,0.25202,0.19997,0.01903,2016,1
56,Russia,5.856,1.23228,0.58991,0.32682,0.02736,0.03586,2016,1
57,Poland,5.835,1.24585,0.69058,0.4519,0.14443,0.055,2016,1
57,South Korea,5.835,1.35948,0.88645,0.25168,0.18824,0.07716,2016,1
59,Bolivia,5.822,0.79422,0.4697,0.50961,0.21698,0.07746,2016,1
60,Lithuania,5.813,1.2692,0.64674,0.18929,0.02025,0.0182,2016,1
61,Belarus,5.802,1.13062,0.63104,0.29091,0.13942,0.17457,2016,1
62,North Cyprus,5.771,1.31141,0.84142,0.43596,0.26322,0.16578,2016,1
63,Slovenia,5.768,1.29947,0.79151,0.53164,0.25738,0.03635,2016,1
64,Peru,5.743,0.99602,0.62994,0.37502,0.14527,0.05292,2016,1
65,Turkmenistan,5.658,1.08017,0.44006,0.37408,0.22567,0.28467,2016,1
66,Mauritius,5.648,1.14372,0.66189,0.46145,0.36951,0.05203,2016,1
67,Libya,5.615,1.06688,0.52304,0.40672,0.17087,0.10339,2016,1
68,Latvia,5.56,1.21788,0.63952,0.27996,0.17445,0.0889,2016,1
69,Cyprus,5.546,1.31857,0.8488,0.29507,0.27906,0.05228,2016,1
70,Paraguay,5.538,0.89373,0.58295,0.46235,0.25296,0.07396,2016,1
71,Romania,5.528,1.1697,0.67602,0.36712,0.12889,0.00679,2016,1
72,Estonia,5.517,1.27964,0.68098,0.41511,0.08423,0.18519,2016,1
73,Jamaica,5.51,0.89333,0.59469,0.43597,0.22245,0.04294,2016,1
74,Croatia,5.488,1.18649,0.70524,0.23907,0.18434,0.04002,2016,1
75,Hong Kong,5.458,1.5107,0.95277,0.48079,0.40097,0.31647,2016,1
76,Somalia,5.44,0,0.11466,0.56778,0.27225,0.3118,2016,1
77,Kosovo,5.401,0.90145,0.54,0.14396,0.27992,0.06547,2016,1
78,Turkey,5.389,1.16492,0.64718,0.23889,0.04707,0.12348,2016,1
79,Indonesia,5.314,0.95104,0.49374,0.39237,0.56521,0.00322,2016,1
80,Jordan,5.303,0.99673,0.60712,0.36023,0.14262,0.13297,2016,1
81,Azerbaijan,5.291,1.12373,0.54504,0.35327,0.0564,0.17914,2016,1
82,Philippines,5.279,0.81217,0.47036,0.54854,0.21674,0.11757,2016,1
83,China,5.245,1.0278,0.73561,0.44012,0.04959,0.02745,2016,1
84,Bhutan,5.196,0.8527,0.49759,0.46074,0.48546,0.1616,2016,1
85,Kyrgyzstan,5.185,0.56044,0.55449,0.40212,0.38432,0.04762,2016,1
86,Serbia,5.177,1.03437,0.6458,0.15718,0.20737,0.04339,2016,1
87,Bosnia and Herzegovina,5.163,0.93383,0.70766,0.09511,0.29889,0,2016,1
88,Montenegro,5.161,1.07838,0.63533,0.15111,0.17191,0.12721,2016,1
89,Dominican Republic,5.155,1.02787,0.57669,0.52259,0.21286,0.12372,2016,1
90,Morocco,5.151,0.84058,0.59471,0.25646,0.04053,0.08404,2016,1
91,Hungary,5.145,1.24142,0.67608,0.1977,0.099,0.04472,2016,1
92,Pakistan,5.132,0.68816,0.40306,0.14622,0.31185,0.1388,2016,1
93,Lebanon,5.129,1.12268,0.76171,0.26228,0.23693,0.03061,2016,1
94,Portugal,5.123,1.27607,0.79363,0.44727,0.11691,0.01521,2016,1
95,Macedonia,5.121,1.0193,0.64738,0.27668,0.23507,0.07047,2016,1
96,Vietnam,5.061,0.74037,0.66157,0.55954,0.25075,0.11556,2016,1
97,Somaliland Region,5.057,0.25558,0.33108,0.3913,0.51479,0.36794,2016,1
98,Tunisia,5.045,0.97724,0.59577,0.23553,0.03936,0.0817,2016,1
99,Greece,5.033,1.24886,0.80029,0.05822,0,0.04127,2016,1
100,Tajikistan,4.996,0.48835,0.53119,0.43408,0.25998,0.13509,2016,0
101,Mongolia,4.907,0.98853,0.55469,0.35972,0.34539,0.03285,2016,0
102,Laos,4.876,0.68042,0.38291,0.52168,0.43079,0.22423,2016,0
103,Nigeria,4.875,0.75216,0.05108,0.27854,0.23219,0.0305,2016,0
104,Honduras,4.871,0.69429,0.58383,0.26755,0.2044,0.06906,2016,0
105,Iran,4.813,1.11758,0.64232,0.22544,0.38538,0.0557,2016,0
106,Zambia,4.795,0.61202,0.23573,0.42662,0.17866,0.11479,2016,0
107,Nepal,4.793,0.44626,0.50073,0.37012,0.3816,0.07008,2016,0
108,Palestinian Territories,4.754,0.67024,0.56844,0.17744,0.11154,0.10613,2016,0
109,Albania,4.655,0.9553,0.73007,0.31866,0.1684,0.05301,2016,0
110,Bangladesh,4.643,0.54177,0.52989,0.39778,0.19132,0.12583,2016,0
111,Sierra Leone,4.635,0.36485,0,0.30685,0.23897,0.08196,2016,0
112,Iraq,4.575,1.07474,0.51076,0.24856,0.19589,0.13636,2016,0
113,Namibia,4.574,0.93287,0.34745,0.48614,0.07795,0.10398,2016,0
114,Cameroon,4.513,0.52497,0.12698,0.42736,0.2268,0.06126,2016,0
115,Ethiopia,4.508,0.29283,0.34578,0.36703,0.29522,0.1717,2016,0
116,South Africa,4.459,1.02416,0.18611,0.42483,0.13656,0.08415,2016,0
117,Sri Lanka,4.415,0.97318,0.62007,0.50817,0.46978,0.07964,2016,0
118,India,4.404,0.74036,0.45091,0.40285,0.25028,0.08722,2016,0
119,Myanmar,4.395,0.34112,0.3988,0.42692,0.81971,0.20243,2016,0
120,Egypt,4.362,0.95395,0.52116,0.18847,0.12706,0.10393,2016,0
121,Armenia,4.36,0.86086,0.64083,0.14037,0.07793,0.03616,2016,0
122,Kenya,4.356,0.52267,0.30147,0.40576,0.41328,0.06686,2016,0
123,Ukraine,4.324,0.87287,0.58628,0.12859,0.20363,0.01829,2016,0
124,Ghana,4.276,0.63107,0.29681,0.40973,0.21203,0.0326,2016,0
125,Congo (Kinshasa),4.272,0.05661,0.188,0.15602,0.25458,0.06075,2016,0
126,Georgia,4.252,0.83792,0.64035,0.32461,0.06786,0.3188,2016,0
127,Congo (Brazzaville),4.236,0.77109,0.28212,0.37938,0.12077,0.09753,2016,0
128,Senegal,4.219,0.44314,0.40457,0.31056,0.19103,0.11681,2016,0
129,Bulgaria,4.217,1.11306,0.67806,0.21219,0.12793,0.00615,2016,0
130,Mauritania,4.201,0.61391,0.28639,0.1268,0.22686,0.17955,2016,0
131,Zimbabwe,4.193,0.35041,0.1595,0.25429,0.18503,0.08582,2016,0
132,Malawi,4.156,0.08709,0.29364,0.4143,0.30968,0.07564,2016,0
133,Sudan,4.139,0.63069,0.29759,0,0.18077,0.10039,2016,0
134,Gabon,4.121,1.15851,0.3494,0.28098,0.06244,0.09314,2016,0
135,Mali,4.073,0.31292,0.16347,0.27544,0.21064,0.13647,2016,0
136,Haiti,4.028,0.34097,0.27494,0.12072,0.47958,0.14476,2016,0
137,Botswana,3.974,1.09426,0.34752,0.44089,0.12425,0.10769,2016,0
138,Comoros,3.956,0.27509,0.29981,0.15412,0.1827,0.18437,2016,0
139,Ivory Coast,3.916,0.55507,0.04476,0.40663,0.20338,0.1553,2016,0
140,Cambodia,3.907,0.55604,0.42494,0.58852,0.40339,0.08092,2016,0
141,Angola,3.866,0.84731,0.04991,0.00589,0.12071,0.08434,2016,0
142,Niger,3.856,0.1327,0.26162,0.38041,0.2097,0.17176,2016,0
143,South Sudan,3.832,0.39394,0.15781,0.19662,0.25899,0.13015,2016,0
144,Chad,3.763,0.42214,0.03824,0.12807,0.18667,0.04952,2016,0
145,Burkina Faso,3.739,0.31995,0.21297,0.3337,0.24353,0.12533,2016,0
145,Uganda,3.739,0.34719,0.19625,0.43653,0.27102,0.06442,2016,0
147,Yemen,3.724,0.57939,0.31048,0.2287,0.09821,0.05892,2016,0
148,Madagascar,3.695,0.27954,0.37109,0.13684,0.2204,0.07506,2016,0
149,Tanzania,3.666,0.47155,0.357,0.3176,0.31472,0.05099,2016,0
150,Liberia,3.622,0.10706,0.23165,0.25748,0.24063,0.04852,2016,0
151,Guinea,3.607,0.22415,0.18829,0.30953,0.29914,0.1192,2016,0
152,Rwanda,3.515,0.32846,0.31865,0.5432,0.23552,0.50521,2016,0
153,Benin,3.484,0.39499,0.21028,0.39747,0.2018,0.06681,2016,0
154,Afghanistan,3.36,0.38227,0.17344,0.1643,0.31268,0.07112,2016,0
155,Togo,3.303,0.28123,0.24811,0.34678,0.17517,0.11587,2016,0
156,Syria,3.069,0.74719,0.62994,0.06912,0.48397,0.17233,2016,0
157,Burundi,2.905,0.06831,0.15747,0.0432,0.2029,0.09419,2016,0
1,Switzerland,7.587,1.39651,0.94143,0.66557,0.29678,0.41978,2015,1
2,Iceland,7.561,1.30232,0.94784,0.62877,0.4363,0.14145,2015,1
3,Denmark,7.527,1.32548,0.87464,0.64938,0.34139,0.48357,2015,1
4,Norway,7.522,1.459,0.88521,0.66973,0.34699,0.36503,2015,1
5,Canada,7.427,1.32629,0.90563,0.63297,0.45811,0.32957,2015,1
6,Finland,7.406,1.29025,0.88911,0.64169,0.23351,0.41372,2015,1
7,Netherlands,7.378,1.32944,0.89284,0.61576,0.4761,0.31814,2015,1
8,Sweden,7.364,1.33171,0.91087,0.6598,0.36262,0.43844,2015,1
9,New Zealand,7.286,1.25018,0.90837,0.63938,0.47501,0.42922,2015,1
10,Australia,7.284,1.33358,0.93156,0.65124,0.43562,0.35637,2015,1
11,Israel,7.278,1.22857,0.91387,0.41319,0.33172,0.07785,2015,1
12,Costa Rica,7.226,0.95578,0.86027,0.63376,0.25497,0.10583,2015,1
13,Austria,7.2,1.33723,0.89042,0.62433,0.33088,0.18676,2015,1
14,Mexico,7.187,1.02054,0.81444,0.48181,0.14074,0.21312,2015,1
15,United States,7.119,1.39451,0.86179,0.54604,0.40105,0.1589,2015,1
16,Brazil,6.983,0.98124,0.69702,0.49049,0.14574,0.17521,2015,1
17,Luxembourg,6.946,1.56391,0.91894,0.61583,0.28034,0.37798,2015,1
18,Ireland,6.94,1.33596,0.89533,0.61777,0.45901,0.28703,2015,1
19,Belgium,6.937,1.30782,0.89667,0.5845,0.2225,0.2254,2015,1
20,United Arab Emirates,6.901,1.42727,0.80925,0.64157,0.26428,0.38583,2015,1
21,United Kingdom,6.867,1.26637,0.90943,0.59625,0.51912,0.32067,2015,1
22,Oman,6.853,1.36011,0.76276,0.63274,0.21542,0.32524,2015,1
23,Venezuela,6.81,1.04424,0.72052,0.42908,0.05841,0.11069,2015,1
24,Singapore,6.798,1.52186,1.02525,0.54252,0.31105,0.4921,2015,1
25,Panama,6.786,1.06353,0.79661,0.5421,0.24434,0.0927,2015,1
26,Germany,6.75,1.32792,0.89186,0.61477,0.28214,0.21843,2015,1
27,Chile,6.67,1.10715,0.85857,0.44132,0.33363,0.12869,2015,1
28,Qatar,6.611,1.69042,0.79733,0.6404,0.32573,0.52208,2015,1
29,France,6.575,1.27778,0.94579,0.55011,0.12332,0.20646,2015,1
30,Argentina,6.574,1.05351,0.78723,0.44974,0.11451,0.08484,2015,1
31,Czech Republic,6.505,1.17898,0.84483,0.46364,0.10686,0.02652,2015,1
32,Uruguay,6.485,1.06166,0.8116,0.60362,0.2324,0.24558,2015,1
33,Colombia,6.477,0.91861,0.69077,0.53466,0.18401,0.0512,2015,1
34,Thailand,6.455,0.9669,0.7385,0.55664,0.5763,0.03187,2015,1
35,Saudi Arabia,6.411,1.39541,0.72025,0.31048,0.13706,0.32524,2015,1
36,Spain,6.329,1.23011,0.95562,0.45951,0.18227,0.06398,2015,1
37,Malta,6.302,1.2074,0.88721,0.60365,0.51752,0.13586,2015,1
38,Taiwan,6.298,1.29098,0.8753,0.3974,0.25376,0.08129,2015,1
39,Kuwait,6.295,1.55422,0.72492,0.55499,0.16228,0.25609,2015,1
40,Suriname,6.269,0.99534,0.6082,0.59657,0.16991,0.13633,2015,1
41,Trinidad and Tobago,6.168,1.21183,0.61483,0.55884,0.31844,0.0114,2015,1
42,El Salvador,6.13,0.76454,0.67737,0.4035,0.10692,0.11776,2015,1
43,Guatemala,6.123,0.74553,0.64425,0.57733,0.27489,0.09472,2015,1
44,Uzbekistan,6.003,0.63244,0.59772,0.65821,0.22837,0.30826,2015,1
45,Slovakia,5.995,1.16891,0.78902,0.31751,0.16893,0.03431,2015,1
46,Japan,5.987,1.27074,0.99111,0.49615,0.10705,0.1806,2015,1
47,South Korea,5.984,1.24461,0.96538,0.33208,0.18557,0.07857,2015,1
48,Ecuador,5.975,0.86402,0.79075,0.48574,0.11541,0.1809,2015,1
49,Bahrain,5.96,1.32376,0.74716,0.45492,0.17362,0.306,2015,1
50,Italy,5.948,1.25114,0.95446,0.26236,0.22823,0.02901,2015,1
51,Bolivia,5.89,0.68133,0.5392,0.57414,0.20536,0.088,2015,1
52,Moldova,5.889,0.59448,0.61826,0.32818,0.20951,0.01615,2015,1
53,Paraguay,5.878,0.75985,0.66098,0.53899,0.3424,0.08242,2015,1
54,Kazakhstan,5.855,1.12254,0.64368,0.51649,0.11827,0.08454,2015,1
55,Slovenia,5.848,1.18498,0.87337,0.60855,0.25328,0.03787,2015,1
56,Lithuania,5.833,1.14723,0.73128,0.21342,0.02641,0.01031,2015,1
57,Nicaragua,5.828,0.59325,0.74314,0.55475,0.27815,0.19317,2015,1
58,Peru,5.824,0.90019,0.73017,0.41496,0.14982,0.05989,2015,1
59,Belarus,5.813,1.03192,0.73608,0.37938,0.11046,0.1909,2015,1
60,Poland,5.791,1.12555,0.77903,0.53122,0.16759,0.04212,2015,1
61,Malaysia,5.77,1.12486,0.72394,0.53024,0.33075,0.10501,2015,1
62,Croatia,5.759,1.08254,0.78805,0.25883,0.05444,0.0243,2015,1
63,Libya,5.754,1.13145,0.7038,0.41668,0.18295,0.11023,2015,1
64,Russia,5.716,1.13764,0.66926,0.36679,0.00199,0.03005,2015,1
65,Jamaica,5.709,0.81038,0.68741,0.50442,0.2123,0.02299,2015,1
66,North Cyprus,5.695,1.20806,0.92356,0.49027,0.26169,0.1428,2015,1
67,Cyprus,5.689,1.20813,0.92356,0.40672,0.30638,0.06146,2015,1
68,Algeria,5.605,0.93929,0.61766,0.28579,0.07822,0.17383,2015,1
69,Kosovo,5.589,0.80148,0.63132,0.24749,0.2831,0.04741,2015,1
70,Turkmenistan,5.548,0.95847,0.53886,0.4761,0.16979,0.30844,2015,1
71,Mauritius,5.477,1.00761,0.7095,0.56066,0.37744,0.07521,2015,1
72,Hong Kong,5.474,1.38604,1.01328,0.59608,0.39478,0.37124,2015,1
73,Estonia,5.429,1.15174,0.77361,0.44888,0.0868,0.15184,2015,1
74,Indonesia,5.399,0.82827,0.63793,0.46611,0.51535,0,2015,1
75,Vietnam,5.36,0.63216,0.74676,0.59444,0.1686,0.10441,2015,1
76,Turkey,5.332,1.06098,0.73172,0.22815,0.12253,0.15746,2015,1
77,Kyrgyzstan,5.286,0.47428,0.65088,0.43477,0.3003,0.04232,2015,1
78,Nigeria,5.268,0.65435,0.16007,0.34334,0.27233,0.0403,2015,1
79,Bhutan,5.253,0.77042,0.57407,0.53206,0.47998,0.15445,2015,1
80,Azerbaijan,5.212,1.02389,0.64045,0.3703,0.07799,0.16065,2015,1
81,Pakistan,5.194,0.59543,0.51466,0.12102,0.33671,0.10464,2015,1
82,Jordan,5.192,0.90198,0.69639,0.40661,0.11053,0.14293,2015,1
82,Montenegro,5.192,0.97438,0.72521,0.1826,0.1614,0.14296,2015,1
84,China,5.14,0.89012,0.81658,0.51697,0.08185,0.02781,2015,1
85,Zambia,5.129,0.47038,0.29924,0.48827,0.19591,0.12468,2015,1
86,Romania,5.124,1.04345,0.7689,0.35068,0.13748,0.00649,2015,1
87,Serbia,5.123,0.92053,0.74836,0.20107,0.19231,0.02617,2015,1
88,Portugal,5.102,1.15991,0.87519,0.51469,0.13719,0.01078,2015,1
89,Latvia,5.098,1.11312,0.72437,0.29671,0.18226,0.06332,2015,1
90,Philippines,5.073,0.70532,0.58114,0.62545,0.24991,0.12279,2015,1
91,Somaliland region,5.057,0.18847,0.43873,0.46582,0.50318,0.39928,2015,1
92,Morocco,5.013,0.73479,0.60954,0.41691,0.07172,0.08546,2015,1
93,Macedonia,5.007,0.91851,0.73545,0.33457,0.22359,0.05327,2015,1
94,Mozambique,4.971,0.08308,0.09131,0.34037,0.22269,0.15603,2015,0
95,Albania,4.959,0.87867,0.81325,0.35733,0.14272,0.06413,2015,0
96,Bosnia and Herzegovina,4.949,0.83223,0.79081,0.09245,0.24808,0.00227,2015,0
97,Lesotho,4.898,0.37545,0.07612,0.31767,0.16388,0.12504,2015,0
98,Dominican Republic,4.885,0.89537,0.66825,0.57672,0.21684,0.14234,2015,0
99,Laos,4.876,0.59066,0.54909,0.59591,0.42192,0.24249,2015,0
100,Mongolia,4.874,0.82819,0.60268,0.43626,0.3323,0.02666,2015,0
101,Swaziland,4.867,0.71206,0.07566,0.30658,0.18259,0.0306,2015,0
102,Greece,4.857,1.15406,0.88213,0.07699,0,0.01397,2015,0
103,Lebanon,4.839,1.02564,0.83947,0.33916,0.21854,0.04582,2015,0
104,Hungary,4.8,1.12094,0.75905,0.32112,0.128,0.02758,2015,0
105,Honduras,4.788,0.59532,0.6951,0.40148,0.23027,0.06825,2015,0
106,Tajikistan,4.786,0.39047,0.57379,0.47216,0.22974,0.15072,2015,0
107,Tunisia,4.739,0.88113,0.73793,0.26268,0.06431,0.06358,2015,0
108,Palestinian Territories,4.715,0.59867,0.66015,0.24499,0.11251,0.12905,2015,0
109,Bangladesh,4.694,0.39753,0.60164,0.4082,0.21222,0.12569,2015,0
110,Iran,4.686,1.0088,0.69805,0.30033,0.38086,0.05863,2015,0
111,Ukraine,4.681,0.79907,0.6739,0.25123,0.15275,0.02961,2015,0
112,Iraq,4.677,0.98549,0.60237,0,0.17922,0.13788,2015,0
113,South Africa,4.642,0.92049,0.27688,0.33207,0.11973,0.08884,2015,0
114,Ghana,4.633,0.54558,0.40132,0.42342,0.23087,0.04355,2015,0
115,Zimbabwe,4.61,0.271,0.33475,0.25861,0.18987,0.08079,2015,0
116,Liberia,4.571,0.0712,0.34201,0.28531,0.24362,0.06232,2015,0
117,India,4.565,0.64499,0.51529,0.39786,0.26475,0.08492,2015,0
118,Sudan,4.55,0.52107,0.36878,0.10081,0.19062,0.1466,2015,0
119,Haiti,4.518,0.26673,0.38847,0.24425,0.46187,0.17175,2015,0
120,Congo (Kinshasa),4.517,0,0.09806,0.22605,0.24834,0.07625,2015,0
121,Nepal,4.514,0.35997,0.56874,0.38282,0.32296,0.05907,2015,0
122,Ethiopia,4.512,0.19073,0.44055,0.4345,0.24325,0.15048,2015,0
123,Sierra Leone,4.507,0.33024,0,0.4084,0.21488,0.08786,2015,0
124,Mauritania,4.436,0.45407,0.35874,0.24232,0.219,0.17461,2015,0
125,Kenya,4.419,0.36471,0.41435,0.42215,0.37542,0.05839,2015,0
126,Djibouti,4.369,0.44025,0.36291,0.46074,0.18093,0.28105,2015,0
127,Armenia,4.35,0.76821,0.7299,0.19847,0.07855,0.039,2015,0
128,Botswana,4.332,0.99355,0.04776,0.49495,0.10461,0.12474,2015,0
129,Myanmar,4.307,0.27108,0.48246,0.44017,0.79588,0.19034,2015,0
130,Georgia,4.297,0.7419,0.72926,0.40577,0.05547,0.38331,2015,0
131,Malawi,4.292,0.01604,0.22562,0.43054,0.33128,0.06977,2015,0
132,Sri Lanka,4.271,0.83524,0.70806,0.53726,0.40828,0.09179,2015,0
133,Cameroon,4.252,0.4225,0.23402,0.49309,0.20618,0.05786,2015,0
134,Bulgaria,4.218,1.01216,0.76649,0.30587,0.11921,0.00872,2015,0
135,Egypt,4.194,0.8818,0.61712,0.17288,0.11291,0.06324,2015,0
136,Yemen,4.077,0.54649,0.40064,0.35571,0.09131,0.07854,2015,0
137,Angola,4.033,0.75778,0.16683,0.10384,0.12344,0.07122,2015,0
138,Mali,3.995,0.26074,0.20583,0.38857,0.18798,0.12352,2015,0
139,Congo (Brazzaville),3.989,0.67866,0.31051,0.41466,0.12388,0.11686,2015,0
140,Comoros,3.956,0.23906,0.36315,0.22917,0.17441,0.199,2015,0
141,Uganda,3.931,0.21102,0.33861,0.45727,0.29066,0.07267,2015,0
142,Senegal,3.904,0.36498,0.4354,0.36772,0.20843,0.10713,2015,0
143,Gabon,3.896,1.06024,0.43372,0.31914,0.06822,0.11091,2015,0
144,Niger,3.845,0.0694,0.29707,0.47692,0.19387,0.15639,2015,0
145,Cambodia,3.819,0.46038,0.61114,0.66246,0.40359,0.07247,2015,0
146,Tanzania,3.781,0.2852,0.38215,0.32878,0.34377,0.05747,2015,0
147,Madagascar,3.681,0.20824,0.46721,0.19184,0.21333,0.08124,2015,0
148,Central African Republic,3.678,0.0785,0.06699,0.48879,0.23835,0.08289,2015,0
149,Chad,3.667,0.34193,0.1501,0.23501,0.18386,0.05269,2015,0
150,Guinea,3.656,0.17417,0.24009,0.37725,0.28657,0.12139,2015,0
151,Ivory Coast,3.655,0.46534,0.15185,0.46866,0.20165,0.17922,2015,0
152,Burkina Faso,3.587,0.25812,0.27125,0.39493,0.21747,0.12832,2015,0
153,Afghanistan,3.575,0.31982,0.30335,0.23414,0.3651,0.09719,2015,0
154,Rwanda,3.465,0.22208,0.42864,0.59201,0.22628,0.55191,2015,0
155,Benin,3.34,0.28665,0.3191,0.4845,0.1826,0.0801,2015,0
156,Syria,3.006,0.6632,0.72193,0.15684,0.47179,0.18906,2015,0
157,Burundi,2.905,0.0153,0.22396,0.1185,0.19727,0.10062,2015,0
158,Togo,2.839,0.20868,0.28443,0.36453,0.16681,0.10731,2015,0
